Sequence,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8
5712,1,6.791180,6.892653,19525.865234,2861.392822,2008/10/09 11:00:00.40,3,5942
5713,2,1.176471,1.483177,3694.096191,2861.392822,2008/10/09 11:00:00.40,3,5943
5714,3,0.000381,0.000381,1.091538,2861.392822,2008/10/09 11:00:00.40,3,1212
5715,4,0.000000,29.365988,34413.476563,2861.392822,2008/10/09 11:00:00.40,3,2142
5716,5,2.939803,3.061875,8605.785156,2861.392822,2008/10/09 11:00:00.40,3,4222
5717,6,7.157549,7.186388,20523.121094,2861.392822,2008/10/09 11:00:00.40,3,3555
5718,7,7.065690,7.109484,20285.753906,2861.392822,2008/10/09 11:00:00.40,3,3050
5719,8,3.484870,3.676354,10269.066406,2861.392822,2008/10/09 11:00:00.40,3,5421
5720,9,3.495953,3.681279,10290.091797,2861.392822,2008/10/09 11:00:00.40,3,5421
5721,10,1.029335,1.029545,2945.532227,2861.392822,2008/10/09 11:00:00.40,3,1212
5722,11,2.551309,2.610819,7398.063477,2861.392822,2008/10/09 11:00:00.40,3,2247
5723,12,391.543427,501.738007,1280495.750000,2861.392822,2008/10/09 11:00:00.40,3,4723
5724,13,6.511330,6.579690,18724.519531,2861.392822,2008/10/09 11:00:00.40,3,4014
5725,14,0.000000,25.305561,34717.273438,2861.392822,2008/10/09 11:00:00.40,3,4823
5726,15,3.441245,3.601038,10084.702148,2861.392822,2008/10/09 11:00:00.40,3,3759
5727,16,0.015564,0.025940,54.602264,2861.392822,2008/10/09 11:00:00.40,3,5813
5728,17,0.005646,0.010529,19.585573,2861.392822,2008/10/09 11:00:00.40,3,5812
5729,18,27.977415,29.663540,82490.945313,2861.392822,2008/10/09 11:00:00.40,3,2347
5730,19,0.000000,1.941009,3559.854736,2861.392822,2008/10/09 11:00:00.40,3,5937
5731,20,-35.915245,-2.960091,-77638.734375,2861.392822,2008/10/09 11:00:00.40,3,2728
5732,21,0.000000,26.626230,21383.318359,2861.392822,2008/10/09 11:00:00.40,3,5237
5733,22,2.677958,19.035629,13898.380859,2861.392822,2008/10/09 11:00:00.41,3,2012
5734,23,0.000000,1.990356,3399.202148,2861.392822,2008/10/09 11:00:00.41,3,4937
5735,24,-117.586899,-54.121017,-252040.703125,2861.392822,2008/10/09 11:00:00.41,3,3454
5736,25,0.000000,23.179218,19373.541016,2861.392822,2008/10/09 11:00:00.41,3,3437
5737,26,0.000000,0.000000,0.000000,2861.392822,2008/10/09 11:00:00.41,3,1212
5738,27,100.000000,100.000000,185325.000000,1853.250244,2008/10/09 11:00:00.41,1,1212
5739,28,100.000000,100.000000,188926.000000,1889.260254,2008/10/09 11:00:00.41,1,1212
5740,1,6.844587,6.917220,24794.263672,3600.475098,2008/10/09 12:00:00.76,3,2535
5741,2,1.176471,1.704433,4817.352051,3600.475098,2008/10/09 12:00:00.76,3,238
5742,3,0.000381,0.000381,1.373477,3600.475098,2008/10/09 12:00:00.76,3,0
5743,4,0.000000,29.530785,53611.695313,3600.475098,2008/10/09 12:00:00.76,3,533
5744,5,2.936751,3.060349,10796.912109,3600.475098,2008/10/09 12:00:00.76,3,3306
5745,6,7.161822,7.187457,25846.150391,3600.475098,2008/10/09 12:00:00.76,3,5601
5746,7,7.094530,7.132982,25623.302734,3600.475098,2008/10/09 12:00:00.76,3,900
5747,8,3.461782,3.631407,12838.270508,3600.475098,2008/10/09 12:00:00.76,3,3505
5748,9,3.466399,3.639412,12865.165039,3600.475098,2008/10/09 12:00:00.76,3,3304
5749,10,1.027237,1.029545,3702.715820,3600.475098,2008/10/09 12:00:00.76,3,34
5750,11,2.551309,2.610819,9331.653320,3600.475098,2008/10/09 12:00:00.76,3,537
5751,12,411.361877,504.280151,1613883.125000,3600.475098,2008/10/09 12:00:00.76,3,4010
5752,13,6.507057,6.556191,23511.748047,3600.475098,2008/10/09 12:00:00.76,3,1346
5753,14,0.000000,25.603111,43770.562500,3600.475098,2008/10/09 12:00:00.76,3,4010
5754,15,3.387198,3.601038,12606.357422,3600.475098,2008/10/09 12:00:00.76,3,2810
5755,16,0.014954,0.021057,61.623337,3600.475098,2008/10/09 12:00:00.76,3,9
5756,17,0.005646,0.010376,25.753576,3600.475098,2008/10/09 12:00:00.77,3,5010
5757,18,27.969786,29.678799,103861.195313,3600.475098,2008/10/09 12:00:00.77,3,1040
5758,19,0.000000,1.920073,4714.022461,3600.475098,2008/10/09 12:00:00.77,3,1728
5759,20,-45.684311,-1.259773,-99221.031250,3600.475098,2008/10/09 12:00:00.77,3,2324
5760,21,0.000000,25.996796,29271.058594,3600.475098,2008/10/09 12:00:00.77,3,1128
5761,22,2.811475,23.323416,18869.496094,3600.475098,2008/10/09 12:00:00.77,3,2720
5762,23,0.000000,1.982879,4591.893066,3600.475098,2008/10/09 12:00:00.77,3,2428
5763,24,-107.220886,-53.636185,-323488.562500,3600.475098,2008/10/09 12:00:00.77,3,1752
5764,25,0.000000,25.603111,29908.958984,3600.475098,2008/10/09 12:00:00.77,3,1728
5765,26,0.000000,0.000000,0.000000,3600.475098,2008/10/09 12:00:00.77,3,0
5766,27,100.000000,100.000000,276038.000000,2760.377441,2008/10/09 12:00:00.77,1,0
5767,28,100.000000,100.000000,253235.000000,2532.348389,2008/10/09 12:00:00.77,1,0
5768,1,6.834974,7.041123,24902.306641,3599.465332,2008/10/09 13:00:00.11,3,4122
5769,2,1.149004,1.510643,4608.856934,3599.465332,2008/10/09 13:00:00.11,3,4227
5770,3,0.000000,0.000381,1.368514,3599.465332,2008/10/09 13:00:00.11,3,37
5771,4,0.000000,30.125889,43363.273438,3599.465332,2008/10/09 13:00:00.11,3,5520
5772,5,2.924544,3.054246,10809.869141,3599.465332,2008/10/09 13:00:00.11,3,2056
5773,6,7.176775,7.205616,25870.767578,3599.465332,2008/10/09 13:00:00.11,3,5632
5774,7,7.104143,7.146868,25635.460938,3599.465332,2008/10/09 13:00:00.11,3,5334
5775,8,3.444850,3.637565,12832.835938,3599.465332,2008/10/09 13:00:00.11,3,3950
5776,9,3.453778,3.640951,12860.256836,3599.465332,2008/10/09 13:00:00.11,3,3950
5777,10,1.027237,1.029545,3700.332764,3599.465332,2008/10/09 13:00:00.11,3,2801
5778,11,2.551309,2.632563,9327.093750,3599.465332,2008/10/09 13:00:00.11,3,3331
5779,12,373.800262,491.102478,1608794.250000,3599.465332,2008/10/09 13:00:00.11,3,3201
5780,13,6.511330,6.560464,23495.285156,3599.465332,2008/10/09 13:00:00.11,3,3141
5781,14,0.000000,25.264362,35133.292969,3599.465332,2008/10/09 13:00:00.11,3,3302
5782,15,3.373770,3.596002,12615.562500,3599.465332,2008/10/09 13:00:00.11,3,1654
5783,16,0.014954,0.023194,62.005493,3599.465332,2008/10/09 13:00:00.11,3,5618
5784,17,0.005646,0.009766,23.999489,3599.465332,2008/10/09 13:00:00.11,3,300
5785,18,27.969786,29.755093,104065.304688,3599.465332,2008/10/09 13:00:00.12,3,5532
5786,19,0.000000,1.952972,4344.141113,3599.465332,2008/10/09 13:00:00.12,3,4416
5787,20,-39.084011,-1.553467,-98296.523438,3599.465332,2008/10/09 13:00:00.12,3,945
5788,21,0.000000,27.232777,26612.037109,3599.465332,2008/10/09 13:00:00.12,3,910
5789,22,2.685588,14.835585,15668.995117,3599.465332,2008/10/09 13:00:00.12,3,4211
